ТЭА/КК Р1А,ТЭА/КК Р1В,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,K/ПП R1A,K/ПП R1B,давление R1A,температура R1A,давление R1B,температура R1B,Произв
0.117065193,0.118472042,0.013813233,0.013979248,5986.65778,5981.175051,0.240692952,0.17182591,3.82E-05,2.73E-05,6300.271061,6292.905715,0.028875046,0.028729724,7.444778881,70.09028117,7.1153084,70.03120422,11282.10035
0.116859963,0.121056766,0.013781782,0.014285726,5985.217773,5976.894086,0.240669477,0.1717924,3.82E-05,2.73E-05,6299.770235,6292.063269,0.029326494,0.028165023,7.408137494,70.56775411,7.099074652,69.92736816,11286.30399
0.114397739,0.123333392,0.013513422,0.014552892,5987.454521,5973.713688,0.241175391,0.173269656,3.83E-05,2.75E-05,6300.976839,6291.548452,0.029769944,0.027598733,7.359486059,71.44337972,7.113897649,70.00180562,11305.45077
0.126361111,0.124297044,0.014908191,0.014662102,5988.635799,5982.608677,0.242950876,0.17501323,3.86E-05,2.78E-05,6300.406657,6292.767554,0.027015811,0.027407559,7.17218858,70.45898438,7.110837245,69.97746785,11310.7828
0.140613073,0.125157462,0.016595449,0.014778378,5980.825014,5978.067904,0.244170156,0.175751399,3.88E-05,2.79E-05,6299.173043,6291.82137,0.024263735,0.027225825,7.187480819,69.19728597,7.116513348,70.03692627,11327.3496
0.158747931,0.126029668,0.018721806,0.014870543,5985.050128,5976.829407,0.242879627,0.175303765,3.86E-05,2.79E-05,6299.74918,6291.505731,0.021504402,0.027041327,7.314816209,69.9978892,7.108059911,69.96877035,11312.0261
0.141914624,0.126346859,0.016754032,0.014898632,5986.647095,5977.320424,0.240703087,0.174630921,3.82E-05,2.78E-05,6300.544381,6291.975783,0.024235856,0.026983289,7.258583542,70.0252533,7.11624069,70.01876831,11339.40005
0.126649314,0.126643187,0.014942277,0.014952011,5985.624689,5977.024414,0.239992952,0.174199106,3.81E-05,2.77E-05,6299.792639,6292.148899,0.026973243,0.02692653,7.189818937,70.08232117,7.116032362,70.0113678,11338.77932
0.114929267,0.126827016,0.013567133,0.014961045,5986.723206,5977.474502,0.240228352,0.174063453,3.81E-05,2.77E-05,6300.815393,6291.728819,0.029702916,0.026872308,7.103000236,70.06063673,7.116688349,69.966863,11341.47031
0.117630717,0.12928032,0.013879524,0.0152639,5985.993856,5975.138788,0.240368842,0.173771755,3.82E-05,2.76E-05,6300.085319,6291.183187,0.028976438,0.026355885,7.032634308,69.95667352,7.138518051,69.98898824,11364.78163
0.120903258,0.131896604,0.014267429,0.015554922,5985.730436,5977.098551,0.240129469,0.173693721,3.81E-05,2.76E-05,6300.212864,6293.576988,0.028245946,0.025827305,6.996309857,70.02656301,7.165111818,70.00218709,11355.87827
0.124118161,0.134869161,0.014646692,0.015916779,5983.547788,5974.661599,0.239606269,0.173517374,3.80E-05,2.76E-05,6299.066939,6290.128021,0.027521047,0.025322626,6.956581024,69.95229085,7.188127903,69.99277751,11380.627
0.128580036,0.134167098,0.015173435,0.015821521,5985.176866,5975.856966,0.238931733,0.173203228,3.79E-05,2.75E-05,6300.124703,6292.166577,0.026539175,0.025409322,6.955774838,69.98130798,7.214151889,69.98725891,11393.33796
0.133028926,0.133594844,0.01569863,0.015757166,5984.358781,5976.578408,0.238092257,0.172701751,3.78E-05,2.74E-05,6299.687826,6291.731635,0.025563697,0.025505986,6.970831499,69.97909546,7.236717161,70.00305176,11396.71951
0.136832759,0.133071947,0.016151128,0.015692079,5984.30946,5976.649268,0.237378732,0.172242334,3.77E-05,2.74E-05,6299.847996,6292.84681,0.024585753,0.025596356,7.007578437,69.99804179,7.250898467,70.02370199,11402.4154
0.145137193,0.132240914,0.017115938,0.015603907,5984.676784,5977.101998,0.236542863,0.171601417,3.75E-05,2.73E-05,6300.065599,6291.552922,0.023989752,0.025766358,7.046743927,69.96836344,7.243664165,69.97609456,11404.69008
0.144204671,0.131464556,0.01701826,0.015515645,5983.452561,5977.212868,0.235711541,0.171326843,3.74E-05,2.72E-05,6299.696635,6291.823694,0.02339597,0.02592998,7.1107523,69.97624715,7.255661434,69.9958547,11407.2509
0.148993357,0.130665829,0.01757982,0.015416788,5984.646698,5975.477759,0.23481267,0.171398447,3.73E-05,2.72E-05,6299.796753,6291.953731,0.022800421,0.026094171,7.181148138,69.98779297,7.276585839,70.00259399,11408.48657
0.149911242,0.130459174,0.017687797,0.015396281,5984.087726,5977.400157,0.233945077,0.171529691,3.71E-05,2.73E-05,6299.796071,6292.159914,0.022830985,0.026110562,7.250801327,69.99905904,7.288031689,69.99053955,11408.31721
