ТЭА R1A,ТЭА R1B,донор R1A,донор R1B,нефрас R1A,нефрас R1B,водород R1A,водород R1B,пропилен R1A,пропилен R1B,давление R1A,температура R1A,давление R1B,температура R1B,катализатор R1A,катализатор R1B,производительность
26.46502666,28.40736446,4.631998205,4.99208231,5869.630664,5932.704004,0.237986363,0.175022991,6249.128369,6248.32876,6.848603153,69.98291016,6.915393257,70.0402832,0.227273505,0.233723178,11208.99563
26.39660988,28.33428307,4.618920994,4.961284065,5877.900977,5938.107178,0.238226601,0.174802946,6251.205273,6248.999463,6.849622965,69.99389648,6.912851381,70.05310059,0.227295878,0.233672577,11145.52659
26.41526871,28.39363937,4.62443819,4.968569994,5878.174951,5940.580664,0.238463657,0.174963185,6249.207617,6251.178516,6.854490614,70.01586914,6.899343395,70,0.227318251,0.233621975,11155.63512
26.41700878,28.37416954,4.620972681,4.962689304,5876.126953,5940.332275,0.237899202,0.174312358,6248.888086,6252.151953,6.850751734,70.00793457,6.893851328,69.97741699,0.227340624,0.233571374,11153.67595
26.37221756,28.40634995,4.616293907,4.965019035,5877.559766,5946.402148,0.237595743,0.174223718,6253.272607,6252.530176,6.84731555,69.98840332,6.889186335,69.98474121,0.227362996,0.233520772,11187.7366
26.16998463,28.49685955,4.581569004,4.986122227,5885.048682,5953.522998,0.23743284,0.174581197,6253.5729,6250.653711,6.847810745,69.98168945,6.893694592,69.96337891,0.22719577,0.233525721,11160.92485
26.12650146,28.59140301,4.567039537,4.99005146,5874.353223,5943.859717,0.237327456,0.174378149,6249.091211,6248.778125,6.853699923,70.01220703,6.894744492,69.9407959,0.227028544,0.23353067,11202.39065
26.15120487,28.60018673,4.578029633,5.005301285,5874.32749,5940.865137,0.237627265,0.174379046,6247.661768,6250.32417,6.84729085,69.99938965,6.894403744,70.01403809,0.226861318,0.233535619,11202.54621
26.14146576,28.66100311,4.5751616,5.012642956,5870.091797,5939.93501,0.237990727,0.174257436,6249.874854,6249.489355,6.847997713,69.99450684,6.894853354,70.02990723,0.226694092,0.233540568,11160.66934
26.12432194,28.67287655,4.569868755,5.017386913,5875.42251,5941.785059,0.237964065,0.174114904,6248.414697,6249.713721,6.840506029,69.98657227,6.885167885,69.99572754,0.226526866,0.233545517,11238.60408
26.09161053,28.54750023,4.563640165,4.995441675,5873.995654,5938.998975,0.237867199,0.174007821,6252.9646,6250.10459,6.845872021,69.97314453,6.882944727,69.92919922,0.226359639,0.233550466,11170.40272
26.42460842,28.42938728,4.622210789,4.976757097,5880.698291,5944.040723,0.237641108,0.174181634,6249.205811,6250.119873,6.845665359,69.99450684,6.887242174,69.91699219,0.226192413,0.233555415,11228.03558
26.75857048,28.39194984,4.683568192,4.967825794,5873.287793,5954.788037,0.237356287,0.174582563,6250.387354,6250.413867,6.85224843,70.01525879,6.893720436,69.99816895,0.226025187,0.233560364,11178.48397
26.21904068,28.28918896,4.590425014,4.950718403,5879.426611,5950.854932,0.237309372,0.174790616,6248.605225,6250.599268,6.842669153,70.01586914,6.887164402,69.94140625,0.225857961,0.233565313,11234.702
25.95248165,28.29634857,4.542606163,4.942948246,5879.377051,5925.968848,0.236976986,0.174951419,6250.922314,6250.673389,6.837877226,69.97192383,6.895932817,69.68322754,0.225690735,0.233570262,11248.87767
25.8214447,28.42729549,4.5195158,4.990323496,5876.099609,5913.68335,0.236547971,0.174897583,6249.421582,6246.356738,6.846633673,69.98352051,6.97933979,69.89318848,0.225523509,0.233575211,11166.94861
25.82366772,28.56645565,4.516861439,4.997387218,5872.637305,5918.047021,0.236326933,0.175195546,6247.298242,6249.441748,6.848093939,70.01983643,7.031819057,70.1751709,0.225356283,0.23358016,11210.30745
26.47177162,28.61713352,4.632639599,5.002059412,5878.094385,5933.856104,0.236005461,0.174876894,6250.334766,6249.065186,6.839537477,70.01708984,7.022958708,70.1159668,0.224690423,0.232558085,11200.98727
26.24712009,28.40087929,4.586641884,4.969058514,5876.816602,5935.733398,0.23609128,0.175033925,6250.041162,6251.07373,6.83422842,69.97741699,7.023637867,69.99694824,0.224024563,0.231536011,11238.89766
26.25145645,28.27843037,4.593154669,4.940656805,5874.886279,5933.532031,0.235801266,0.175353198,6248.324658,6247.365869,6.837488651,69.98779297,7.038168049,69.98291016,0.223358704,0.230513936,11200.81052
25.9938797,28.01757393,4.547202349,4.905606127,5873.960938,5932.632471,0.235054334,0.174783067,6249.052588,6248.143213,6.8430583,69.99084473,7.056001282,70.05859375,0.222692844,0.229491862,11213.25302
25.78777828,27.73195724,4.511905193,4.852790403,5870.191309,5933.399463,0.234867541,0.175147796,6248.735938,6249.081641,6.846964502,69.98886108,7.056963491,70.02990723,0.222026984,0.228469788,11195.12959
25.76887455,27.47287235,4.509830427,4.81123147,5876.055029,5939.151465,0.234249741,0.175086898,6250.139258,6249.974414,6.846819782,69.9798584,7.056229258,69.97741699,0.221361125,0.227447713,11224.91406
25.80352707,27.27999649,4.516458797,4.77323842,5876.010303,5934.678369,0.233961505,0.175445761,6249.354395,6249.257031,6.854315138,69.98168945,7.062670612,70.00732422,0.220695265,0.226425639,11127.35253
25.84588623,27.06723881,4.524433184,4.740171957,5872.370752,5933.523633,0.23404526,0.175624847,6250.774609,6248.195508,6.859126472,69.9786377,7.074263954,69.96887207,0.220029405,0.225403564,11198.70877
25.91704254,26.87300549,4.535595083,4.707141876,5872.437549,5937.698193,0.234287022,0.176449727,6250.170166,6255.346729,6.871472454,69.98962402,7.082929802,70,0.219363546,0.22438149,11169.50825
25.80352421,26.72842541,4.51678195,4.690704536,5871.571973,5940.212061,0.234170568,0.17646452,6250.175195,6250.812402,6.877972889,69.98504639,7.080153847,70.0213623,0.218697686,0.223359416,11217.28684
25.55199718,26.61812706,4.475887966,4.680813742,5878.592334,5941.606982,0.234529528,0.176815419,6248.770557,6250.441846,6.887350464,69.99633789,7.075881815,69.95788574,0.218031826,0.222337341,11170.35391
25.55273781,26.61609554,4.47096653,4.657075357,5871.653857,5936.423926,0.234885889,0.177080144,6249.980273,6248.98916,6.884684563,69.8651123,7.088468838,69.95422363,0.217365967,0.221315267,11215.496
25.5141386,26.75697136,4.462890291,4.684129667,5870.273047,5933.777295,0.235037436,0.176881686,6247.215283,6248.105615,6.931221771,69.85412598,7.103709602,70.06286621,0.217177378,0.221236711,11164.42736
25.5643568,26.84660244,4.476426315,4.697623873,5871.34751,5937.717188,0.235391234,0.17690039,6249.790088,6249.981396,6.979575968,70.05737305,7.092059183,70.04821777,0.21698879,0.221158156,11207.45588
25.41112385,26.86673527,4.448378229,4.705020428,5873.205566,5939.506104,0.235895063,0.17696937,6250.906592,6251.145264,6.990618372,70.05493164,7.085997152,69.95422363,0.216800201,0.2210796,11202.84683
25.36218624,26.84973278,4.439427662,4.694939137,5871.519189,5933.403125,0.236403377,0.17699084,6250.842285,6251.396191,6.996442127,69.97497559,7.092006445,69.96520996,0.216611613,0.221001044,9811.578537
25.39908962,26.8134222,4.443996668,4.68647213,5857.044092,5917.734668,0.236331891,0.176749849,6249.735889,6247.501318,7.017943048,70.01281738,7.102462816,70.02319336,0.216423024,0.220922489,9647.240324
25.41904831,26.75294094,4.445482588,4.674657106,5875.608545,5940.239209,0.236774835,0.177090348,6250.535742,6247.72583,7.027266455,70.04821777,7.107011652,70.03723145,0.216234436,0.220843933,9629.667452
25.45215244,26.69163876,4.455534792,4.67072053,5869.21001,5940.723584,0.237355585,0.177753857,6247.871582,6248.264844,7.034847593,70.00183105,7.098248911,70.02258301,0.216045848,0.220765377,9594.10273
25.14164047,26.69863167,4.412486506,4.67234354,5875.622705,5939.214648,0.23781994,0.177826051,6249.26084,6250.621436,7.042057705,70.01586914,7.096086311,69.99938965,0.215857259,0.220686822,9634.657792
25.6215107,26.71406898,4.473990583,4.67197361,5874.377344,5937.929688,0.238297118,0.177518208,6248.520996,6248.981104,7.051066542,70.03173828,7.106804752,69.98352051,0.215668671,0.220608266,9603.390133
25.58976479,26.82647572,4.477355862,4.688140678,5871.832861,5937.636084,0.238840362,0.177828176,6249.505225,6251.46377,7.059596491,70.04089355,7.104393148,69.96826172,0.215480082,0.220529711,9618.694303
25.28456745,26.83698978,4.433623934,4.701865005,5879.147754,5935.453857,0.239317855,0.177665915,6252.952832,6253.147461,7.053493166,70.00284831,7.111113167,69.99328613,0.215291494,0.220451155,9645.745878
25.06896896,26.81863823,4.38651886,4.690989447,5878.678711,5938.49248,0.239829683,0.177500659,6250.335742,6251.29873,7.059481478,69.98168945,7.110351992,70.0201416,0.215102905,0.220372599,9607.649874
24.8487709,26.70122681,4.341501141,4.666215897,5888.837988,5937.056641,0.239940442,0.177223741,6250.967676,6250.270166,7.074555874,70.02563477,7.107497072,70.01342773,0.213811171,0.218744361,9659.302112
25.07974949,26.80162964,4.396029806,4.689368153,5923.97085,5924.288477,0.240232071,0.177475084,6250.904004,6246.845361,7.07290349,70.0177002,7.111001396,69.98779297,0.212519436,0.217116123,9606.297738
25.55496101,26.7936861,4.470225048,4.692727232,5930.22085,5923.360205,0.240086116,0.177072057,6251.888086,6249.368652,7.069189072,70.00305176,7.115076828,70.00732422,0.211227702,0.215487885,9628.47819
25.41014194,26.67298622,4.452051401,4.668665218,5936.020703,5928.959961,0.240478364,0.177526063,6251.272705,6250.637158,7.069460297,69.99003092,7.120296526,70.01525879,0.209935967,0.213859646,9616.943311
24.97718487,26.69992733,4.370584822,4.6682302,5926.53042,5917.652686,0.240763031,0.177929607,6249.037891,6250.187939,7.071487999,69.99776204,7.117735434,70.00976563,0.208644233,0.212231408,9546.416016
24.98548584,26.63616638,4.373399639,4.667400742,5932.849805,5928.13999,0.240761708,0.177785794,6250.345117,6251.066309,7.073760843,70.00671387,7.114102793,70.01647949,0.207352498,0.21060317,9590.542224
24.98449039,26.69740028,4.373739481,4.669338274,5948.547803,5947.155615,0.241189092,0.177677225,6249.810986,6249.936768,7.071256447,69.9987793,7.117335415,69.97497559,0.206060764,0.208974932,9521.597355
25.26170292,26.72482719,4.412552547,4.675744915,5937.027051,5952.246777,0.241704172,0.177826977,6250.478516,6250.579395,7.077059221,70.01261393,7.113095713,69.97619629,0.204769029,0.207346693,9546.06558
25.5927206,26.55088902,4.485927057,4.651673841,5942.520996,5942.896875,0.241859519,0.177619758,6251.154004,6251.143066,7.075792885,70.01205444,7.113306189,69.93225098,0.203477295,0.205718455,9628.403495
25.05415649,26.40669308,4.382160521,4.620717716,5933.95542,5936.794824,0.24229828,0.177707084,6250.818262,6250.090527,7.07804141,69.98718262,7.123435354,69.92370605,0.20218556,0.204090217,9550.005078
24.69530125,26.2891367,4.324108362,4.617054272,5939.952393,5935.738623,0.242544167,0.177684924,6250.038721,6249.500342,7.083404779,69.97802734,7.134484673,69.99328613,0.200893826,0.202461978,9620.63243
25.23374348,26.19937553,4.410469484,4.595255041,5934.489746,5929.237012,0.242372511,0.177346799,6247.820264,6247.764404,7.089024019,69.98270671,7.145543242,69.96765137,0.199602091,0.20083374,9555.542387
25.39230652,26.05974331,4.44760108,4.561913395,5933.222852,5934.70166,0.242625654,0.177094519,6249.022754,6247.507617,7.098767996,69.98046875,7.154682684,70.0189209,0.199641149,0.201213804,9548.364181
25.09703484,25.95057926,4.393537283,4.538628483,5937.054297,5932.537939,0.242866631,0.177255163,6249.158984,6247.567627,7.098737907,70.00244141,7.157236195,70.00671387,0.199680206,0.201593869,9589.819869
25.05742931,25.91087399,4.390748787,4.52988739,5940.614355,5935.802979,0.242729037,0.177100927,6247.918506,6251.601367,7.110736752,70.01037598,7.166495848,69.98168945,0.199719264,0.201973933,9622.35085
24.98172855,25.76078548,4.371605206,4.508069134,5948.970361,5928.268359,0.242916317,0.177003588,6255.371924,6247.511182,7.110181046,69.99938965,7.174116087,69.99938965,0.199758321,0.202353997,9559.998832
24.88565578,25.7614706,4.354302597,4.519709396,5938.602148,5945.854639,0.242983653,0.176969668,6250.68252,6246.664453,7.1218503,70.00366211,7.182080841,69.99450684,0.199797379,0.202734061,9767.877653
24.84818859,25.79723778,4.346489048,4.519845867,5937.25874,5930.006836,0.24290491,0.176909986,6248.103711,6250.106934,7.11607275,70.00427246,7.187123966,69.98168945,0.199836436,0.203114126,9797.825049
24.8359417,25.63155346,4.347713137,4.484537506,5931.228906,5931.902539,0.243196045,0.177525546,6246.882471,6249.107471,7.125963545,69.99572754,7.197883701,70.03173828,0.199875493,0.20349419,9841.248433
25.31992302,25.55175056,4.425849628,4.464723492,5939.464941,5942.895703,0.243312655,0.177353354,6248.811768,6250.06377,7.130891848,69.98352051,7.193620729,69.99572754,0.199914551,0.203874254,9776.990389
25.32969437,25.58373928,4.432751417,4.466351271,5938.517627,5937.694629,0.243219139,0.177110538,6252.894678,6249.482568,7.139517641,70.01037598,7.195666122,69.92248535,0.199953608,0.204254318,9626.894735
25.14407043,25.44987736,4.401670504,4.454342651,5936.43501,5934.232227,0.242844239,0.176618303,6248.332813,6249.719971,7.141869545,70.01098633,7.206208038,69.97680664,0.199992666,0.204634382,9591.09904
25.0152895,25.46713715,4.374427366,4.460253096,5939.452002,5932.964502,0.243098532,0.17670774,6247.689014,6247.643652,7.144703197,70.00183105,7.225261879,69.96398926,0.200031723,0.205014447,9508.923612
25.10551548,25.42517166,4.396116447,4.448663664,5936.898828,5937.283203,0.24302053,0.176543552,6247.57998,6252.153027,7.147400761,70.00671387,7.22952261,70.02624512,0.20007078,0.205394511,9506.820402
