ТЭА R1A,ТЭА R1B,ТЭА/КК Р1А,ТЭА/КК Р1В,донор R1A,донор R1B,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,ПП/нр Р1А,ПП/нр Р1В,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,К R1A,К R1B,давление R1A,давление R1B,Произв
27.84837213,28.00036449,0.151303253,0.141871427,3.89738102,3.91840446,0.021174898,0.019853657,5937.588318,5935.347021,1.052635366,1.053126159,0.2519689,0.183199688,4.03e-05,2.93e-05,6250.115454,6250.669214,184.056665,197.3643677,7.859439397,7.660763156,11138.98606
28.04196239,28.00175261,0.150440634,0.141106247,3.927974957,3.919733304,0.021072956,0.019752294,5937.937317,5938.289893,1.052644809,1.052708165,0.249460159,0.180727471,3.99e-05,2.89e-05,6250.538892,6251.286255,186.3988586,198.444458,7.862298167,7.677210808,11139.93242
28.00255589,27.99439425,0.148364945,0.140305514,3.919511348,3.919181937,0.020766607,0.019642605,5936.82439,5931.622852,1.052622279,1.053571962,0.246924366,0.17862012,3.95e-05,2.86e-05,6249.233618,6249.391528,188.7410522,199.5245483,7.86979475,7.734029734,11139.47331
27.82532115,27.99745812,0.145618843,0.139565358,3.896334338,3.919149345,0.020390769,0.019536684,5936.800684,5935.687305,1.052919195,1.05299002,0.244443728,0.177104456,3.91e-05,2.83e-05,6250.971399,6250.219495,191.0832458,200.6046387,7.882076514,7.801305151,11138.13728
28.23454809,27.99812617,0.147205062,0.139350151,3.954731035,3.919110775,0.020618585,0.019505901,5940.097815,5939.703577,1.052393972,1.052470097,0.241946026,0.175764998,3.87e-05,2.81e-05,6251.323132,6251.3604,191.8041931,200.9192383,7.886277199,7.821152222,11129.56006
27.83686805,28.00175123,0.144588224,0.139150312,3.896797782,3.91843397,0.020240462,0.019472043,5937.748853,5937.699268,1.052631521,1.052709109,0.240865403,0.175873227,3.85e-05,2.81e-05,6250.261609,6250.670105,192.5251404,201.2338379,7.881068194,7.82500658,11104.92675
28.14398241,28.00462756,0.145638045,0.138947381,3.939813024,3.920311356,0.020387544,0.019450964,5937.819519,5939.470667,1.052714143,1.052480754,0.2433815,0.17854435,3.89e-05,2.86e-05,6250.826587,6251.178564,193.2460876,201.5484375,7.871231329,7.820116079,11114.35113
27.83112636,28.01276932,0.144461163,0.138464353,3.895354724,3.920702869,0.020219357,0.019379647,5939.611218,5940.893054,1.052340709,1.052293652,0.24586697,0.181006183,3.93e-05,2.9e-05,6250.494678,6251.56405,192.6547302,202.3103333,7.853145754,7.801603293,11112.01988
28.06709223,27.99796858,0.146134538,0.137871972,3.928975397,3.92057547,0.020456661,0.01930631,5937.103528,5940.099829,1.052548912,1.052230516,0.248187445,0.183310513,3.97e-05,2.93e-05,6249.091858,6250.354309,192.0633728,203.072229,7.829845059,7.77008251,11112.86315
28.13152633,27.99598298,0.146922391,0.137346889,3.939934713,3.920119339,0.020577079,0.019231909,5937.278308,5937.853601,1.052606448,1.052358722,0.250738095,0.18586855,4.01e-05,2.97e-05,6249.617432,6248.752026,191.4720154,203.8341248,7.806619322,7.73968333,11105.15754
27.94904943,27.99221053,0.145852718,0.139819731,3.912456959,3.917826504,0.020417241,0.019569353,5938.222229,5938.536829,1.052593364,1.05252738,0.253289139,0.188192089,4.05e-05,3.01e-05,6250.533313,6250.472607,191.6251526,200.2021484,7.778839338,7.709558797,11113.06149
27.9636241,27.98959212,0.145812251,0.142389824,3.916291171,3.918292284,0.020420931,0.0199333,5937.429333,5939.513501,1.052571888,1.052412014,0.255791214,0.190143811,4.09e-05,3.04e-05,6249.571204,6250.815369,191.7782898,196.5701721,7.752779257,7.682369292,11121.29789
28.14322228,28.00460086,0.146631652,0.145148039,3.940155339,3.919147521,0.020528974,0.020312969,5938.493591,5939.808984,1.05253471,1.05235096,0.258085477,0.19158634,4.13e-05,3.07e-05,6250.47063,6250.763684,191.931427,192.9381958,7.722658575,7.648169148,11118.02018
27.87758856,28.01751037,0.145107991,0.143289795,3.902945483,3.922325295,0.020315551,0.020059926,5934.475989,5940.356641,1.053275289,1.052329688,0.26001953,0.192538524,4.16e-05,3.08e-05,6250.636914,6251.213647,192.1161499,195.5303955,7.691991901,7.606985998,11126.29295
28.12243958,27.99611492,0.146241872,0.141307027,3.94064433,3.920332015,0.020492077,0.019787405,5938.605237,5939.463184,1.052583092,1.052334758,0.261646696,0.193073199,4.19e-05,3.09e-05,6250.875464,6250.303552,192.3008728,198.1225952,7.735867012,7.587136614,11136.57566
27.93884478,27.99303737,0.145147717,0.139466736,3.910716832,3.91902492,0.020316932,0.019525342,5935.775537,5938.07196,1.052724711,1.052573599,0.262678758,0.193217454,4.2e-05,3.09e-05,6248.737585,6250.257776,192.4855957,200.7147949,7.735855281,7.565753651,11140.31079
27.79208565,28.00253997,0.144431471,0.139352434,3.890755641,3.918524474,0.020219697,0.019500228,5939.150916,5938.851062,1.052536731,1.052492054,0.263357592,0.192341619,4.21e-05,3.08e-05,6251.174487,6250.593555,192.4240295,200.9476196,7.720815837,7.555502558,11149.17353
28.23087077,28.03581924,0.14675873,0.139356583,3.953998917,3.926677054,0.02055494,0.019518185,5936.533557,5936.665527,1.052730546,1.052777936,0.262886927,0.190218301,4.21e-05,3.04e-05,6249.570215,6249.990479,192.3624634,201.1804443,7.70557704,7.544125676,11153.65674
27.78926349,28.0006784,0.144509276,0.139021021,3.890167141,3.92117033,0.020229584,0.019468282,5939.200427,5938.698816,1.052421356,1.052570701,0.260601047,0.187775278,4.17e-05,3e-05,6250.54137,6250.900378,192.3008972,201.413269,7.686859369,7.529087234,11159.17973
28.20909748,28.01033587,0.147054233,0.138805245,3.950710434,3.919718462,0.020595083,0.019424168,5936.370142,5937.197607,1.052722089,1.052592477,0.258004816,0.185245546,4.13e-05,2.96e-05,6249.347974,6249.449536,191.8278503,201.7959473,7.670306146,7.526749694,11167.36433
28.00278883,28.00189772,0.146339618,0.138500782,3.918934792,3.918787616,0.020479939,0.019382799,5935.143079,5935.995422,1.053022803,1.052800487,0.255457809,0.182686828,4.09e-05,2.92e-05,6249.841003,6249.418872,191.3548035,202.1786255,7.657547593,7.527282846,11170.82426
27.80124159,28.0039712,0.145646405,0.138249363,3.894704181,3.918969059,0.020403753,0.019347077,5937.722217,5936.726538,1.052612176,1.052679068,0.252943946,0.180197145,4.05e-05,2.88e-05,6250.118701,6249.467761,190.8817566,202.5613037,7.649421668,7.528819919,11172.14585
28.21083078,27.99770741,0.147520841,0.139457973,3.948237097,3.919504112,0.020646228,0.019523245,5937.328821,5937.629114,1.052799135,1.052820817,0.25059958,0.177882449,4.01e-05,2.85e-05,6250.814648,6251.259534,191.2328491,200.7608948,7.646546745,7.539355373,11172.18638
27.68558817,27.75335069,0.144508918,0.139491772,3.865116602,3.921005887,0.020174533,0.01970746,5938.093518,5936.687366,1.052599625,1.052870667,0.248108274,0.175346499,3.97e-05,2.81e-05,6250.43501,6250.563989,191.5839417,198.9604858,7.651006949,7.551377583,11167.16509
28.04930243,28.10430121,0.146139565,0.142545599,3.900957733,3.787830192,0.020324365,0.019211953,5938.469519,5936.535583,1.052469968,1.052738235,0.245646115,0.172899713,3.93e-05,2.77e-05,6250.060828,6249.617993,191.9350342,197.1600769,7.659011292,7.572893178,11179.90025
27.97587876,27.97580848,0.145424179,0.14105626,3.915180272,3.905523068,0.020351885,0.019691959,5934.036365,5937.656055,1.053093867,1.052743057,0.243028279,0.170392715,3.89e-05,2.73e-05,6249.097302,6250.826184,192.3743286,198.3308533,7.716714251,7.587365985,11163.43251
28.09973631,28.00299325,0.145735223,0.140364734,3.938440037,3.972631299,0.02042615,0.019912776,5936.753088,5936.618176,1.052722097,1.052739792,0.240503078,0.168001893,3.85e-05,2.69e-05,6249.75116,6249.714185,192.813623,199.5016296,7.798691559,7.605205417,11158.02668
28.09554534,28.01306057,0.145382257,0.139595977,3.934290183,3.922787386,0.020358245,0.019548215,5937.131616,5936.128271,1.052840614,1.052728578,0.238110519,0.166940504,3.81e-05,2.67e-05,6250.853296,6249.131873,193.2529175,200.672406,7.828263068,7.617745578,11152.04483
27.97129312,28.02440872,0.144940714,0.139197895,3.917188179,3.924911952,0.020297955,0.01949513,5937.892371,5937.159106,1.05242389,1.052602903,0.235480443,0.166338604,3.77e-05,2.66e-05,6249.179785,6249.470911,192.984375,201.3278198,7.837512028,7.6295452,11143.29823
27.9833293,27.99039378,0.145205139,0.138577808,3.918283945,3.91405313,0.020331925,0.019378109,5937.073901,5936.612476,1.052658483,1.052779053,0.233140715,0.16630875,3.73e-05,2.66e-05,6249.711206,6249.94126,192.7158325,201.9832336,7.836414075,7.635416019,11132.29217
